Total saturated fatty acids,Total monounsaturated fatty acids,Total polyunsaturated fatty acids,Energy,Protein,Carbohydrate,Sugars,Dietary Fiber,Total Fat,food type
0.008,0.002,0.031,6,0.45,1.17,0.55,0.5,0.06,4
0.017,0.002,0.019,6,0.26,1.39,0.72,0.5,0.05,4
0.006,0.002,0.02,8,0.19,1.92,0.95,0.6,0.05,4
4.121,2.241,0.846,172,9.81,15.44,1.33,1.6,7.86,11
4.854,3.022,0.813,186,9.3,15.58,1.39,1.7,9.57,11
0.882,1.117,0.547,54,2.28,5,0.55,0.9,2.85,4
0.648,1.002,2.448,49,0.46,2.14,1.73,0,4.29,4
0.001,0.001,0.004,1,0.04,0.17,0.11,0.1,0.01,4
0.004,0.001,0.014,3,0.24,0.5,0.14,0.2,0.03,4
7.498,8.575,2.7,526,23.45,62.42,11.95,5,20.28,5
3.277,4.716,12.513,190,0.27,0.16,0.16,0,20.96,5
0.46,0.402,1.047,151,5.28,27.55,2.99,1.3,2.01,5
1.417,1.662,0.357,40,1.54,0.09,0,0,3.7,5
0.013,0.13,0.045,3,0.21,0.27,0.07,0.2,0.17,5
2.282,4.95,4.167,196,10.19,9.56,0.05,0.6,13.03,12
0.008,0.014,0.017,29,0.14,6.93,5.65,0.2,0.11,12
0.032,0.012,0.102,41,0.93,9.58,4.74,2.8,0.24,9
0.26,0.597,1.19,24,0.05,1.22,0.83,0,2.13,9
10.795,24.683,19.512,959,62.38,38.43,3.41,2.4,60.05,12
0.003,0.002,0.011,0,0.03,0.02,0,0,0.02,12
16.381,7.347,1.303,557,9.59,69.26,54.78,1.9,26.97,8
5.638,0.468,0.102,112,0.47,14.64,13.3,0.9,6.67,8
4.327,10.013,3.853,529,8.49,75.81,41.1,3.9,21.22,3
4.333,1.712,0.295,69,0.53,1.72,1.71,0,6.79,3
0.005,0,0.005,7,0.25,1.51,0,0,0.01,1
1.055,0.498,0.083,20,0.47,0.65,0.62,0,1.73,1
0.464,2.052,0.948,291,5.16,58.86,14.35,3,3.96,2
3.273,1.179,0.171,147,9.88,14.48,14.42,0,5.6,2
0.068,0.017,0.123,126,0.63,33.42,25.14,5.8,0.41,10
4.192,20.765,8.712,393,13.41,12.05,4.01,6.6,35.52,10
0.007,0.054,0.004,4,0.43,0,0,0,0.07,1
0.375,0.192,0.008,10,0.05,1.16,0.15,0,0.65,1
0,0,0,2,0,0.46,0.4,0,0,1
0.175,0.185,0.251,140,5.16,28.91,7.41,1,0.64,3
0.824,0.362,0.06,22,0.71,1.64,1.43,0,1.39,3
0.058,0.007,0.051,140,0.86,34.34,33.02,0.5,0.3,1
0,0,0,0,0,0,0,0,0,1
0.435,0.887,1.649,123,2.85,20.77,0.22,1.4,3.13,14
0.753,0.611,0.109,22,0.8,0.98,0.26,0.3,1.73,14
0.058,0.007,0.051,140,0.86,34.34,33.02,0.5,0.3,1
0,0,0,0,0,0,0,0,0,1
6.295,4.776,1.702,341,7.89,46.73,1.53,2.2,13.64,6
1.563,1.829,0.956,72,6.28,0.36,0.19,0,4.76,6
0.411,0.356,0.928,150,4.85,28.69,6.22,1.4,1.79,3
2.256,3.612,4.942,99,0.03,0.16,0,0,11.17,3
0.001,0,0.001,35,0.02,9.33,6.83,0.1,0,3
0.501,0.59,1.182,46,0.6,5.52,0.74,0.2,2.38,3
1.616,4.064,1.968,96,3.6,3.57,1.68,0.8,8.18,3
4.301,5.499,7.834,393,17.03,38.47,4.3,2.3,18.85,5
0.002,0,0.006,1,0.09,0.23,0.11,0.1,0.01,5
1.638,2.358,6.257,95,0.13,0.08,0.08,0,10.48,5
1.845,3.717,7.067,310,4.66,44.48,0.51,3.5,13.57,14
3.964,6.484,5.554,205,4.15,9.81,0.37,0.3,16.66,14
0.002,0,0.002,4,0.12,0.76,0,0,0.01,1
0.169,0.061,0.009,8,0.51,0.75,0.75,0,0.29,1
2.83,2.038,1.81,188,9.63,19.96,2.19,1.8,7.63,11
0,0,0,6,0.17,0.98,0.54,0.3,0.14,11
0.003,0.004,0.012,15,0.17,4.06,3.05,0.4,0.04,4
0.005,0.011,0.015,9,0.18,2.19,1.8,0.1,0.04,4
0.015,0.002,0.013,19,0.2,5.09,4.35,0.3,0.05,4
0.215,0.244,0.458,97,1.44,19.88,20.22,0.5,1.83,1
0,0,0,6,0,0.28,0.12,0,0,1
0,0,0,20,0.02,5.49,5.48,0,0,1
0.024,0.007,0.042,50,0.11,12.26,10.44,0.2,0.14,1
0,0,0,0,0,0,0,0,0,1
1.603,2.084,1.865,128,3.36,19.15,6.41,2,5.85,9
