Total saturated fatty acids,Total monounsaturated fatty acids,Total polyunsaturated fatty acids,Energy,Protein,Carbohydrate,Sugars,Dietary Fiber,Total Fat,food type
0.033,0.022,0.027,35,0.62,7.94,1.12,0.1,0.12,2
0.141,0.04,0.092,112,1.37,28.78,15.41,3.3,0.42,2
0.982,0.363,0.055,74,5.84,8.97,8.57,0,1.64,2
4.172,4.915,9.853,383,4.98,45.98,6.14,1.7,19.82,3
5.111,4.949,10.424,208,1.14,2.14,1.59,0.1,21.76,3
1.021,1.25,0.77,218,40.8,0,0,0,4.75,12
3.069,4.055,11.366,189,0.58,2.6,2.07,0,19.63,12
1.84,4.701,4.251,246,2.7,32.63,0.24,3,11.6,9
2.046,2.703,7.578,126,0.39,1.73,1.38,0,13.08,9
0.24,0.12,0.54,210,5.52,50.04,12.18,6.5,0.96,2
2.044,0.737,0.107,92,6.17,9.04,9.01,0,3.5,2
0.46,0.402,1.047,151,5.28,27.55,2.99,1.3,2.01,5
2.069,2.875,1.285,79,2.9,1.77,0.55,0,6.66,5
0.002,0.003,0.007,17,0.18,4.66,3.62,0.1,0.02,5
0.007,0.05,0.003,3,0.4,0,0,0,0.07,1
0.173,0.064,0.01,13,1.03,1.58,1.51,0,0.29,1
2.076,1.243,1.626,217,5.82,35.06,2.63,2.5,5.67,11
1.199,0.49,0.071,17,0.02,0,0,0,1.89,11
1.501,2.815,4.99,157,1.64,14.99,0.89,0.4,10.08,14
0.001,0.001,0.005,0,0.02,0.01,0,0,0.01,14
0.23,0.201,0.524,76,2.64,13.78,1.5,0.6,1.01,3
5.685,0,0,108,1.08,12.47,10.81,1.1,5.95,3
0.028,0.006,0.039,60,0.19,15.05,13.19,0.2,0.15,1
0,0,0,0,0,0,0,0,0,1
5.49,2.646,0.447,190,2.89,24.03,19.95,0.8,9.26,8
0,0,0,61,0,15.12,13.5,0,0,8
0.609,0.241,0.042,10,0.08,0.24,0.24,0,0.96,8
1.001,1.18,2.365,92,1.2,11.03,1.47,0.4,4.76,3
1.616,4.064,1.968,96,3.6,3.57,1.68,0.8,8.18,3
0.237,0.267,0.483,50,1.13,8.82,0.26,0.3,1.05,3
2.716,1.188,0.208,64,3.38,1.86,1.31,0,4.84,3
0.005,0,0.01,12,0.21,2.76,0.89,0.4,0.02,9
0.68,2.533,1.213,54,1.75,1.88,0.41,0.7,4.8,9
0.001,0.001,0.002,9,0,2.32,1.4,0,0,9
3.574,1.63,0.426,237,6.14,39.3,26.84,0.5,6.14,8
0,0,0,108,0,26.88,24,0,0,8
22.202,19.103,2.616,811,53.19,31.55,5.3,1.1,51.06,5
0.013,0.13,0.045,3,0.21,0.27,0.07,0.2,0.17,5
0.002,0.003,0.007,17,0.18,4.66,3.62,0.1,0.02,5
1.638,2.358,6.257,95,0.13,0.08,0.08,0,10.48,5
0.002,0,0.006,1,0.09,0.23,0.11,0.1,0.01,5
0.011,0.011,0.023,16,0.46,3.24,1.9,0.5,0.11,10
0.007,0.024,0.026,24,0.17,6.1,3.94,1.6,0.11,10
0,0.243,0.147,23,0.43,4.37,0,0.4,0.43,3
4.715,1.9,0.312,104,5.77,1.41,0.76,0,8.37,3
1.013,2.189,2.33,115,8.45,6.47,0.45,0.3,5.96,12
0.268,0.386,1.024,16,0.02,0.01,0.01,0,1.72,12
0.005,0.003,0.011,3,0,0.81,0,0,0,1
1.055,0.498,0.083,20,0.47,0.65,0.62,0,1.73,1
1.125,0.576,0.024,31,0.15,3.48,0.46,0,1.93,1
0,0,0,48,0,12.45,12.48,0,0.04,1
18.333,8.016,1.22,559,9.45,63.72,57.29,1.9,29.7,8
0.049,0.074,0.131,17,0.32,3.16,0.24,0.1,0.28,8
2.534,4.067,8.436,148,0.42,1.46,1.07,0.1,15.65,4
0.009,0.001,0.014,3,0.14,0.77,0.46,0.3,0.03,4
0.002,0.001,0.001,2,0.06,0.47,0.21,0.1,0.01,4
0.006,0.007,0.019,4,0.2,0.88,0.59,0.3,0.05,4
0.096,0.323,0.027,5,0.04,0.26,0,0.1,0.46,4
0.518,0.866,0.294,86,16.82,0,0,0,2.14,4
0.019,0.005,0.063,9,0.93,1.7,0.53,0.8,0.13,4
6.553,13.811,25.782,818,10.19,84.59,0.61,5.8,50.14,14
0.052,0.045,0.194,72,3.59,16.78,9.49,4.5,0.47,14
19.522,9.408,1.59,677,10.29,85.43,70.93,2.9,32.92,8
1.943,0.755,0.144,56,0.8,6.24,5.41,0.4,3.11,8
0,0,0,42,0,10.41,6.68,0,0.02,8
0.17,0.85,0.468,156,3.32,35.28,12.41,4.1,1.7,2
3.215,1.189,0.187,104,5.67,8.07,8.31,0,5.53,2
1.142,0.381,0.571,238,3.36,55.83,21.89,5.9,2.16,2
6.619,2.448,0.384,214,11.67,16.62,17.12,0,11.39,2
0.005,0.038,0.003,3,0.31,0,0,0,0.05,1
0,0,0,2,0,0.46,0.4,0,0,1
5.156,2.255,0.343,157,2.66,17.92,16.11,0.5,8.35,8
0,0,0,61,0,15.12,13.5,0,0,8
0.791,1.008,2.313,132,2.68,21.04,2.5,2.6,4.58,3
2.448,0.949,0.15,52,2.97,0.31,0.04,0,4.34,3
0.003,0.002,0.007,2,0,0.52,0,0,0,1
0.005,0.001,0.003,3,0.04,0.83,0.3,0,0.03,1
1.039,1.229,0.58,376,6.99,79,47.48,0.6,3.5,3
0.003,0.009,0.031,20,0.24,5.18,2.59,1.2,0.06,3
1.021,0.076,0.025,15,0.06,1.08,1.08,0,1.19,3
0.004,0.002,0.008,2,0,0.59,0,0,0,1
1.354,0.488,0.071,61,4.09,5.99,5.97,0,2.32,1
0,0,0,7,0,1.82,1.61,0,0,1
8.602,10.998,15.669,787,34.07,76.93,8.59,4.7,37.69,5
0.003,0.001,0.012,2,0.18,0.47,0.22,0.2,0.02,5
3.277,4.716,12.513,190,0.27,0.16,0.16,0,20.96,5
2.492,1.08,0.171,97,1.2,14.29,9.73,0.3,4.03,8
0.002,0.002,0.003,8,0.01,2.1,1.94,0.2,0.01,8
0.35,0.728,1.397,64,1.23,8.94,0.1,0.6,2.61,14
3.716,6.079,5.207,192,3.89,9.2,0.35,0.3,15.62,14
0.504,0.586,0.039,20,2,0,0,0,1.31,14
27.459,24.684,3.01,988,66.95,31.58,5.31,1.1,64.09,5
0.025,0.259,0.09,6,0.43,0.53,0.14,0.4,0.34,5
0.004,0.029,0.002,2,0.23,0,0,0,0.04,1
0.169,0.061,0.009,8,0.51,0.75,0.75,0,0.29,1
0,0,0,40,0,10.46,10.48,0,0.03,1
0.004,0.029,0.002,2,0.23,0,0,0,0.04,1
0,0,0,16,0,4.15,4.16,0,0.01,1
4.538,1.679,0.264,146,8,11.4,11.74,0,7.81,1
0,0,0,215,0,53.77,48,0,0,1
1.523,3.408,2.683,299,4.93,54.81,25.59,3.4,8.05,2
5.484,2.029,0.318,177,9.67,13.77,14.18,0,9.44,2
0.028,0.007,0.053,49,0.17,13.27,11.02,1.8,0.17,10
0.011,0.017,0.009,20,0.09,5.39,3.69,0.3,0.06,10
0.451,0.394,1.028,148,5.18,27.03,2.93,1.3,1.97,3
0.141,0.226,0.309,6,0,0.01,0,0,0.7,3
1.453,0.294,0.556,655,145.32,11.63,0,5.8,2.9,1
3.893,1.403,0.203,175,11.75,17.22,17.15,0,6.66,1
0.007,0.001,0.018,3,0.31,0.4,0.05,0.2,0.04,1
0.056,0.014,0.102,104,0.52,27.62,20.78,4.8,0.34,10
0.569,0.355,0.8,88,1.06,17.71,15.07,0,1.86,10
3.404,1.259,0.198,110,6,8.55,8.8,0,5.86,1
0,0,0,0,0,0,0,0,0,1
0.339,0.607,0.59,145,2.93,30.94,13.82,1.9,1.92,2
3.215,1.189,0.187,104,5.67,8.07,8.31,0,5.53,2
3.505,7.391,13.301,436,4.99,46.34,0.22,3.2,26.99,14
3.964,6.484,5.554,205,4.15,9.81,0.37,0.3,16.66,14
0.007,0.004,0.014,4,0,1.08,0,0,0,1
1.693,0.61,0.088,76,5.11,7.49,7.46,0,2.9,1
0.056,0.014,0.102,104,0.52,27.62,20.78,4.8,0.34,10
1.616,4.064,1.968,96,3.6,3.57,1.68,0.8,8.18,10
0.362,0.322,0.765,120,4.2,21.55,3.13,0.8,1.68,3
0,0,0,122,0.12,32.96,32.85,0.1,0,3
0,0,0,70,0.58,3.94,0.22,0,0,1
0.055,0.037,0.047,14,0.58,2.4,1.76,0.3,0.19,1
0,0,0,0,0,0,0,0,0,1
0.246,0.452,0.571,17,0.86,0.42,0.04,0.2,1.41,1
0.724,1.914,2.039,50,1.64,0.94,0.04,0.9,4.9,1
0.674,2.513,1.204,54,1.74,1.87,0.4,0.7,4.76,1
0.056,0.1,0.116,19,0.67,3.43,0.05,0.5,0.33,1
0.141,0.04,0.092,112,1.37,28.78,15.41,3.3,0.42,1
4.337,9.43,8.388,432,5.61,49.51,0.5,4.3,23.57,9
1.914,2.485,0.978,75,5.43,0.27,0,0,5.61,9
0.012,0.022,0.027,46,0.22,11.01,8.98,0.2,0.17,9
15.125,11.394,2.884,688,37.91,54.8,8.7,1.9,34.22,5
3.828,4.97,1.956,150,10.85,0.54,0,0,11.23,5
4.205,10.744,9.716,562,6.17,74.59,0.54,6.8,26.51,9
0.025,0.046,0.057,96,0.46,22.83,18.61,0.5,0.35,9
0.005,0.01,0.032,29,0,7.34,6.44,0,0.05,1
0,0,0,679,0,0,0,0,0,1
12.956,9.561,4.354,591,25.83,56.35,4.28,7.8,29.09,11
0.006,0.003,0.021,1,0.07,0.04,0.01,0,0.04,11
1.122,1.259,2.28,236,5.32,41.66,1.24,1.6,4.96,3
15.288,6.098,0.958,330,22.68,1.21,0,0,26.04,3
0.011,0.081,0.005,5,0.65,0,0,0,0.11,1
0,0,0,96,0,24.9,24.95,0,0.08,1
0.01,0.072,0.005,5,0.58,0,0,0,0.1,1
0.395,0.6,0.94,38,0.1,5.26,4.96,0.2,2.03,1
1.991,3.375,5.672,263,3.14,37.1,22.03,0.8,11.25,3
3.781,5.034,3.735,279,3.95,38.58,23.06,1.2,13.18,3
8.725,4.454,0.665,312,4.91,42.99,36.03,1.8,14.7,8
0.049,0.074,0.131,17,0.32,3.16,0.24,0.1,0.28,8
1.943,0.755,0.144,56,0.8,6.24,5.41,0.4,3.11,8
0.071,0.02,0.046,56,0.69,14.39,7.71,1.6,0.21,10
0,0,0,20,0.02,5.49,5.48,0,0,10
0.005,0.036,0.002,2,0.29,0,0,0,0.05,1
0.538,1.218,0.252,43,0.48,5.46,5.46,0,2.1,1
0.334,0.393,0.788,31,0.4,3.68,0.49,0.1,1.59,3
3.005,1.211,0.199,66,3.68,0.9,0.49,0,5.33,3
2.793,5.629,10.702,469,7.06,67.36,0.78,5.4,20.55,14
0.02,0.017,0.073,27,1.35,6.29,3.56,1.7,0.18,14
5.39,13.886,11.71,718,5.49,103.18,76.73,0.6,32.88,3
8.148,3.563,0.542,248,4.2,28.32,25.46,0.8,13.2,3
0.085,0.214,0.218,25,0.72,4.1,0.08,0.2,0.57,3
5.685,0,0,108,1.08,12.47,10.81,1.1,5.95,3
0.004,0,0.004,0,0.18,0,0,0,0,1
0.03,0.01,0.004,21,2.09,2.98,3.08,0,0.05,1
7.001,6.131,12.504,472,22.16,33.8,6.19,1.9,27.25,5
0.006,0.006,0.017,4,0.18,0.78,0.53,0.2,0.04,5
0.006,0.002,0.003,6,0.17,1.4,0.64,0.3,0.02,5
0.228,0.765,0.063,12,0.08,0.6,0,0.2,1.09,5
0.001,0.009,0.001,1,0.07,0,0,0,0.01,1
1.039,0.384,0.059,79,6.19,9.5,9.08,0,1.74,1
0.004,0.005,0.016,21,0.22,5.41,4.06,0.6,0.05,10
0.02,0.003,0.018,26,0.27,6.79,5.8,0.3,0.06,10
0.006,0.014,0.019,12,0.24,2.93,2.4,0.2,0.06,10
0.164,0.112,0.265,84,3.33,16.08,1.43,0.7,0.75,5
2.494,0.867,0.111,50,2.66,0.73,0,0,4.03,5
0.002,0,0.002,1,0.03,0.18,0.08,0,0.01,5
0.003,0.003,0.008,2,0.09,0.39,0.26,0.1,0.02,5
0.001,0,0.003,1,0.05,0.12,0.06,0.1,0.01,5
0.003,0.001,0.001,3,0.08,0.7,0.32,0.1,0.01,5
0.203,0.405,0.608,158,4.34,36.56,7.61,6.4,1.31,2
1.806,0.651,0.094,81,5.45,7.99,7.96,0,3.09,2
6.508,3.136,0.53,226,3.43,28.48,23.64,1,10.97,8
1.185,0.427,0.062,53,3.58,5.24,5.22,0,2.03,8
0.46,0.402,1.047,151,5.28,27.55,2.99,1.3,2.01,5
0.761,0.962,0.86,89,12.44,1.85,0.76,0,3.17,5
1.638,2.358,6.257,95,0.13,0.08,0.08,0,10.48,5
0.005,0.041,0.003,3,0.32,0,0,0,0.05,1
0.527,0.249,0.042,10,0.24,0.32,0.31,0,0.86,1
0.007,0.004,0.018,4,0,0.72,0,0,0,1
0,0,0,48,0,12.45,12.48,0,0.04,1
0.005,0,0.005,0,0.24,0,0,0,0,1
0.395,0.6,0.94,38,0.1,5.26,4.96,0.2,2.03,1
0.484,0.098,0.185,218,48.44,3.88,0,1.9,0.97,1
4.232,1.525,0.221,191,12.77,18.72,18.64,0,7.24,1
4.792,3.636,1.296,260,6,35.57,1.17,1.7,10.38,6
2.397,0.981,0.142,33,0.04,0,0,0,3.79,6
5.122,2.242,0.383,315,8.37,51.56,38.71,0.5,8.45,8
1.943,0.755,0.144,56,0.8,6.24,5.41,0.4,3.11,8
2.793,6.418,3.794,265,9.64,27.49,4.92,2.2,13.88,5
0.026,0.008,0.017,21,0.26,5.4,2.89,0.6,0.08,5
1.682,3.638,0.404,709,5.85,152.6,76.48,6.7,6.13,2
7.899,2.847,0.413,356,23.84,34.94,34.8,0,13.52,2
9.18,4.334,0.554,292,5.13,38.07,34.24,1.6,14.85,8
2.819,0.234,0.051,56,0.24,7.32,6.65,0.4,3.33,8
0.005,0.003,0.011,3,0,0.81,0,0,0,1
5.106,1.889,0.296,165,9,12.82,13.2,0,8.78,1
0,0,0,16,0,4.15,4.16,0,0.01,1
2.693,1.115,0.444,297,11.33,55.08,38.89,5.6,5.05,1
1.538,3.161,12.067,224,7.68,12.13,0.65,11.5,17.71,1
0.32,0.666,1.277,59,1.12,8.17,0.09,0.5,2.38,14
0.024,0.02,0.088,33,1.63,7.64,4.32,2,0.22,14
9.947,9.709,7.693,666,8.97,88.89,2.1,9.4,30.51,11
9.431,3.8,0.624,208,11.54,2.83,1.52,0,16.74,11
0.527,0.444,1.159,183,8.86,31.03,3.18,4.3,2.56,5
0.314,0.412,0.152,30,4.68,0.08,0,0,1.04,5
1.406,2.028,5.346,83,0.13,0.48,0.34,0,8.99,5
0.793,1.648,0.587,145,4.56,24.38,0.86,2,3.34,5
0.369,0.426,0.076,32,5.21,0.18,0.08,0,1.03,5
0.013,0.13,0.045,3,0.21,0.27,0.07,0.2,0.17,5
1.638,2.358,6.257,95,0.13,0.08,0.08,0,10.48,5
0.006,0.006,0.017,4,0.18,0.78,0.53,0.2,0.04,5
1.496,2.898,3.47,163,11.53,10.35,0.24,0.7,8.37,12
1.868,5.442,4.836,187,1.23,17.7,16.87,0.7,12.53,12
0.011,0.079,0.005,5,0.63,0,0,0,0.11,1
2.11,0.996,0.166,39,0.94,1.29,1.24,0,3.45,1
0,0,0,162,0,41.83,41.92,0,0.13,1
0.809,0.165,0.197,104,1.17,22.56,11.6,0.7,1.27,2
1.354,0.488,0.071,61,4.09,5.99,5.97,0,2.32,2
0.92,0.803,2.094,302,10.56,55.1,5.98,2.6,4.02,5
4.138,5.751,2.57,157,5.79,3.53,1.1,0,13.31,5
3.277,4.716,12.513,190,0.27,0.16,0.16,0,20.96,5
1.733,3.224,4.143,183,12.49,11.57,0.32,0.9,9.69,12
0.085,0.049,0.322,10,1.04,0.64,0.1,0.5,0.61,12
8.374,7.299,3.698,456,22.03,41.99,6.1,4.3,22.27,11
0.068,0.039,0.257,8,0.83,0.51,0.08,0.4,0.49,11
0.002,0.001,0.005,1,0,0.36,0,0,0,1
0,0,0,22,0,5.58,5.59,0,0.02,1
2.269,0.839,0.132,73,4,5.7,5.87,0,3.9,1
4.929,6.294,4.032,292,10.23,25.57,4.93,0.8,16.27,5
0,0,0.001,3,0.03,0.78,0.6,0,0,5
3.609,3.798,0.686,157,5.71,12.14,2.02,0.4,9.28,5
0,0,0,1,0.01,0.19,0.15,0,0,5
1.001,1.18,2.365,92,1.2,11.03,1.47,0.4,4.76,3
6.983,3.054,0.535,166,8.69,4.78,3.37,0,12.45,3
2.125,2.492,0.535,60,2.31,0.14,0,0,5.55,3
0.417,0.351,0.656,164,27.48,9.51,3.62,1.4,1.99,12
0.006,0.005,0.023,8,0.42,1.97,1.11,0.5,0.06,12
0.528,1.112,2.076,66,0.82,6.81,0.05,0.5,4.04,14
0.797,3.675,0.681,60,0.75,3.2,0.25,2.5,5.5,14
0.004,0,0.004,0,0.18,0,0,0,0,1
0.056,0.02,0.003,3,0.17,0.25,0.25,0,0.1,1
46.815,32.476,94.371,2752,35.32,281,1.16,17.9,181.36,14
0.09,0.052,0.342,10,1.1,0.68,0.11,0.5,0.65,14
0.009,0.013,0.04,50,0.54,13.08,9.82,1.4,0.12,10
0.048,0.003,0.076,32,0.77,7.64,7.38,0.7,0.17,10
0.015,0.035,0.047,28,0.57,7.07,5.81,0.4,0.14,10
0.559,0.389,0.377,134,4.15,25.34,1.97,1,1.59,5
0.627,0.823,0.305,59,9.35,0.15,0,0,2.09,5
0.509,0.758,1.828,38,0.1,2.22,1.5,0,3.24,5
7.173,3.105,0.323,147,10.74,0.9,0.24,0,11.18,5
0.004,0.027,0.002,2,0.22,0,0,0,0.04,1
0.291,1.133,0.004,20,0.15,1.71,1.71,0,1.5,1
0,0,0,40,0,10.46,10.48,0,0.03,1
5.625,2.656,0.443,105,2.5,3.44,3.3,0,9.2,1
0.005,0,0.005,0,0.24,0,0,0,0,1
1.135,0.42,0.066,37,2,2.85,2.93,0,1.95,1
0,0,0,16,0,4.15,4.16,0,0.01,1
0.004,0,0.004,0,0.18,0,0,0,0,1
1.513,0.56,0.088,49,2.67,3.8,3.91,0,2.6,1
0,0,0,16,0,4.15,4.16,0,0.01,1
11.384,7.851,3.308,407,4.01,43.74,23.13,1.1,23.95,3
0.09,0.147,0.24,13,0,2.05,1.91,0,0.49,3
0.546,1.225,1.663,75,1.22,9.68,5.09,0.3,3.61,3
0.436,1.034,0.986,60,0.99,8.48,4.55,0.2,2.59,3
0.341,0.451,1.263,21,0.07,0.29,0.23,0,2.18,4
0.003,0.001,0.014,3,0.2,0.51,0.24,0.2,0.03,4
1.179,0.475,0.078,26,1.44,0.35,0.19,0,2.09,4
0.484,0.098,0.185,218,48.44,3.88,0,1.9,0.97,1
0.172,0.06,0.021,119,12.03,17.15,17.71,0,0.28,1
1.047,1.689,1.229,53,3.22,0.19,0.1,0,4.23,5
0.189,0.205,0.276,139,5.54,27.5,4.43,0.8,0.69,5
0.002,0.001,0.006,2,0.12,0.54,0.31,0.1,0.02,5
2.016,0.781,0.124,43,2.45,0.26,0.04,0,3.57,5
0.844,1.024,1.051,56,5.57,0.31,0,0,3.47,5
1.292,1.985,4.83,80,0.32,0.49,0.41,0.1,8.5,4
0.005,0.002,0.022,4,0.36,0.75,0.21,0.3,0.04,4
0.525,0.95,0.237,47,1.08,6.35,0.44,0.5,1.83,4
0.969,0.4,0.075,26,1.85,0.78,0,0,1.75,4
0.198,0.238,0.58,50,1.14,8.89,0.16,0.3,1.04,3
2.155,5.419,2.624,127,4.8,4.76,2.24,1,10.9,3
0.198,0.238,0.58,50,1.14,8.89,0.16,0.3,1.04,3
2.716,1.188,0.208,64,3.38,1.86,1.31,0,4.84,3
2.708,0.976,0.142,122,8.17,11.98,11.93,0,4.64,1
0.076,0,0,13,0.15,3.01,2.73,0.2,0.08,1
0.667,0.786,1.576,61,0.8,7.36,0.98,0.3,3.17,3
0.539,1.355,0.656,32,1.2,1.19,0.56,0.3,2.73,3
0.004,0.029,0.002,2,0.23,0,0,0,0.04,1
0.375,0.192,0.008,10,0.05,1.16,0.15,0,0.65,1
0,0,0,3,0,0.91,0.8,0,0,1
0.022,0.005,0.031,48,0.16,12.04,10.55,0.2,0.12,1
0,0,0,0,0,0,0,0,0,1
0.101,0.077,0.19,34,1.66,7.13,3.22,3.8,0.41,9
8.183,10.812,30.31,505,1.55,6.93,5.51,0,52.34,9
3.029,7.009,2.697,370,5.94,53.07,28.77,2.7,14.86,3
4.333,1.712,0.295,69,0.53,1.72,1.71,0,6.79,3
1.064,0.336,0.504,210,2.86,49.39,24.47,5.2,1.9,2
3.611,1.301,0.189,163,10.9,15.97,15.91,0,6.18,2
0.39,0.343,0.904,153,5.98,26.62,3.21,2.2,2.54,5
3.485,5.589,7.112,333,31.01,13.26,9.34,0.9,17.97,5
0.277,0.163,0.411,227,2.44,54.86,21.79,1.4,1.03,2
4.538,1.679,0.264,146,8,11.4,11.74,0,7.81,2
0.017,0.02,0.048,4,0.1,0.74,0.01,0,0.09,3
1.377,0.534,0.085,29,1.67,0.18,0.02,0,2.44,3
0.191,0.269,0.082,12,1.68,0.1,0.09,0,0.56,3
2.57,6.566,5.938,343,3.77,45.58,0.33,4.2,16.2,9
0.003,0.003,0.008,20,0.21,5.48,4.25,0.1,0.02,9
0.133,0.071,0.148,14,1.6,0.76,0.17,0,0.48,12
0.001,0,0,0,0.01,0.09,0.03,0,0,12
0.812,1.167,1.218,189,6.29,37.15,2.28,5.1,3.35,2
0.227,1.669,0.678,88,1.13,15.46,14.06,0.6,2.75,2
0.208,0.122,0.309,170,1.83,41.14,16.34,1,0.78,2
2.031,0.732,0.106,92,6.13,8.99,8.95,0,3.48,2
18.333,8.016,1.22,559,9.45,63.72,57.29,1.9,29.7,8
0,0,0,215,0,53.77,48,0,0,8
5.638,0.468,0.102,112,0.47,14.64,13.3,0.9,6.67,8
0.054,0.02,0.174,70,1.58,16.3,8.06,4.8,0.41,9
1.598,1.565,3.317,65,0.34,0.52,0.37,0,6.88,9
0.685,0.228,0.343,143,2.02,33.5,13.13,3.5,1.29,2
0.171,1.26,0.512,32,0.85,2.8,1.73,0.4,2.05,2
0.004,0,0.004,0,0.18,0,0,0,0,1
0,0,0,16,0,4.15,4.16,0,0.01,1
0.007,0.054,0.004,4,0.43,0,0,0,0.07,1
1.016,0.366,0.053,46,3.07,4.49,4.47,0,1.74,1
1.669,1.966,3.941,153,1.99,18.39,2.45,0.7,7.93,3
6.497,2.618,0.43,143,7.95,1.95,1.05,0,11.53,3
8.558,18.564,15.626,737,38.21,35.83,0.19,2.2,48.86,12
0.015,0.028,0.034,58,0.28,13.86,11.3,0.3,0.21,12
8.602,10.998,15.669,787,34.07,76.93,8.59,4.7,37.69,5
0.003,0.001,0.012,2,0.18,0.47,0.22,0.2,0.02,5
3.277,4.716,12.513,190,0.27,0.16,0.16,0,20.96,5
0.603,0.335,0.03,101,1.69,21.21,16.6,0.9,1.01,1
0,0,0,4,0,1.04,1.04,0,0,1
2.035,0.863,0.088,111,2.63,18.9,17.43,0,3.15,8
0.001,0.004,0.015,3,0.06,0.72,0.46,0.2,0.03,8
0.336,0.483,0.504,78,2.6,15.37,0.95,2.1,1.39,2
1.354,0.488,0.071,61,4.09,5.99,5.97,0,2.32,2
0,0,0,16,0,4.15,4.16,0,0.01,2
3.05,4.164,2.952,220,7.54,23.73,6.64,0.9,10.58,5
0.001,0.001,0.002,6,0.06,1.55,1.21,0,0.01,5
0.004,0.002,0.009,66,0,17.23,16.66,0,0.05,1
0,0,0,97,0,0,0,0,0,1
0.056,0.014,0.102,104,0.52,27.62,20.78,4.8,0.34,10
2.096,10.382,4.356,196,6.71,6.02,2.01,3.3,17.76,10
1.44,1.864,1.301,77,7.25,1.24,1.18,0,4.85,5
0.23,0.201,0.524,76,2.64,13.78,1.5,0.6,1.01,5
3.596,1.471,0.213,50,0.06,0,0,0,5.68,5
1.358,0.594,0.104,32,1.69,0.93,0.66,0,2.42,5
0,0,0,2,0.4,0,0,0,0,1
0,0,0,44,0.04,11.87,11.83,0,0,1
1.061,0.743,0.704,237,7.6,44.08,2.73,1.5,3,5
0.314,0.412,0.152,30,4.68,0.08,0,0,1.04,5
0.509,0.758,1.828,38,0.1,2.22,1.5,0,3.24,5
5.431,2.375,0.416,129,6.76,3.72,2.62,0,9.69,5
1.061,0.743,0.704,237,7.6,44.08,2.73,1.5,3,5
0.314,0.412,0.152,30,4.68,0.08,0,0,1.04,5
0.509,0.758,1.828,38,0.1,2.22,1.5,0,3.24,5
5.431,2.375,0.416,129,6.76,3.72,2.62,0,9.69,5
6.18,2.778,0.851,309,7.75,45.08,25.32,0.3,10.88,8
2.545,2.919,2.492,260,3.96,43.62,22.46,2,8.52,8
0.217,0.414,0.79,18,0.03,0.89,0.79,0,1.55,4
0.007,0.002,0.029,5,0.42,1.09,0.51,0.5,0.05,4
0.003,0.001,0.01,4,0.09,0.96,0.47,0.3,0.02,4
0.006,0.002,0.002,5,0.15,1.25,0.57,0.2,0.01,4
0.004,0,0.003,1,0.07,0.36,0.17,0.1,0.01,4
0.243,0.143,0.36,199,2.13,48,19.07,1.2,0.9,2
2.37,0.854,0.124,107,7.15,10.48,10.44,0,4.06,2
0.23,0.201,0.524,76,2.64,13.78,1.5,0.6,1.01,3
0,0,0,5,0,0.21,0.09,0,0,3
0.644,3.405,0.491,41,0,0,0,0,4.67,3
0.667,0.786,1.576,61,0.8,7.36,0.98,0.3,3.17,3
0.367,0.929,1.236,50,5.91,0,0,0,2.75,3
0.004,0.011,0.039,8,0.17,1.92,1.22,0.5,0.08,10
0.014,0.002,0.012,17,0.18,4.53,3.87,0.2,0.04,10
0.006,0.001,0.011,11,0.05,2.88,2.17,0.5,0.04,10
0.36,0.496,0.248,40,3.88,3.4,0.64,0.5,1.24,6
0.142,0.239,0.228,36,2.04,5.68,0.64,1.1,0.66,6
3.505,1.412,0.232,77,4.29,1.05,0.57,0,6.22,6
2.035,0.863,0.088,111,2.63,18.9,17.43,0,3.15,8
0.405,0.314,0.421,25,0.26,3.27,1.65,0.1,1.24,8
0.003,0.005,0.003,19,0.05,4.69,2.78,0,0.02,8
0.002,0.002,0.003,8,0.01,2.1,1.94,0.2,0.01,8
0,0,0,21,0,5.25,3.13,0,0,8
7.562,5.697,1.442,344,18.96,27.4,4.35,1,17.11,5
1.638,2.358,6.257,95,0.13,0.08,0.08,0,10.48,5
1.914,2.485,0.978,75,5.43,0.27,0,0,5.61,5
0.002,0,0.006,1,0.09,0.23,0.11,0.1,0.01,5
0.006,0.006,0.017,4,0.18,0.78,0.53,0.2,0.04,5
7.968,8.38,1.621,417,25.39,29.99,4.36,1.1,20.84,5
0.002,0.003,0.007,17,0.18,4.66,3.62,0.1,0.02,5
0.006,0,0.019,3,0.37,0.39,0.24,0.1,0.04,5
0.006,0.002,0.003,6,0.17,1.4,0.64,0.3,0.02,5
0.004,0.002,0.01,2,0,0.39,0,0,0,1
0.903,0.325,0.047,41,2.72,3.99,3.98,0,1.55,1
0,0,0,10,0.01,2.75,2.74,0,0,1
1.012,2.039,3.877,170,2.56,24.4,0.28,1.9,7.45,14
0.929,1.52,1.302,48,0.97,2.3,0.09,0.1,3.91,14
0.474,0.605,1.388,79,1.61,12.63,1.5,1.5,2.75,3
0.677,0.316,0.032,15,0.83,0.44,0.37,0,1.08,3
2.648,3.061,1.533,165,1.33,23.72,10.92,1.1,7.67,3
5.445,0.404,0.131,79,0.31,5.76,5.76,0,6.33,3
0.46,0.402,1.047,151,5.28,27.55,2.99,1.3,2.01,5
1.638,2.358,6.257,95,0.13,0.08,0.08,0,10.48,5
0.035,0.01,0.023,28,0.34,7.2,3.85,0.8,0.1,5
